Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Senior Data Engineer (1295),N-iX,Data,1,Senior,15380,23474,"Docker,Kubernetes,Cloud Native,Python,Data engineering,ETL,Kafka,Kinesis,Spark,Scala,TypeScript,Java","Open source,Data science,MLOps,Kotlin,GCP,AWS,Azure,MSSQL,Terraform"
Fullstack Java Developer,Devire Sp. z o.o.,Backend,0,Mid,25200,31080,"Data structures,Java,JavaScript,Spring Boot,REST API,SQL","ETL,Degree,AWS"
Senior Test Automation Engineer IV,OpenX,Testing,1,Senior,27888,32088,"Test automation,CI,CD tools,Spinnaker,Jenkins,Python,Java,cloud,Backend","Cypress,UI testing,GCP,Kubernetes,Docker"
Senior Kotlin/Java Software Developer,Hitachi Energy,Backend,0,Senior,12000,18000,"Kotlin,Degree,Java,Spring Framework,Linux,Docker,PostgreSQL,TypeScript,JavaScript,Communication skills",HTML5
Remote FullStack Developer (React + Java),RemoDevs,Fullstack,1,Senior,28331,30760,"React,JavaScript,Java","Linux,MongoDB,Kubernetes,Helm,Cloud"
Senior Fullstack Developer (Kotlin/Java + Angular),Euvic S.A.,Fullstack,1,Senior,21840,25200,"Kotlin,Java,Angular,AD,Groovy,Spring Boot,Docker,AWS,Git,SQL","Terraform,Kubernetes,Gradle,Kafka"
DevOps Engineer,Appfire,DevOps,1,Mid,13000,18300,"DevOps,Degree,Java,Python,AWS,AWS EC2,ELB,Amazon RDS,Route53,Jenkins,Docker","Kubernetes,GCP,IaC,Terraform,Ansible,ELK Stack,Grafana"
Senior Fullstack Developer (Java/Kotlin),NetworkedAssets Sp. z o.o.,Fullstack,0,Senior,21000,32000,"Java,Kotlin,JavaScript,Spring Boot","TypeScript,Vue.js,React,Angular,AWS,IaC,Pulumi"
Junior Devops,Lotnicze Pogotowie Ratunkowe,DevOps,0,Junior,7000,12000,"DevOps,CI/CD,Docker,Kubernetes,Grafana,WildFly,REST API,YouTrack,GitLab,Prometheus,Elasticsearch,Git,Java","SQL,PostgreSQL,Redis,MongoDB,Oracle DB,Python,Java,JBoss"
Programista PL/SQL - Oracle Forms,AVENGA,Data,0,Mid,25200,31920,"PL/SQL,Oracle,oracle forms,SQL,Spring,RabbitMQ,Git,Java,ERP","Continuous integration,WebLogic,Docker,Kubernetes,Helm,Linux,Angular,CI"
Software Developer in Test,Avenga,Testing,1,Senior,26880,33600,"Java,JavaScript,TypeScript,Microservices,BDD",
IT Architect Senior,FIS Techlology Services (Poland) Sp. z o.o.,Architecture,0,Senior,,,"Java,Oracle,JEE,JPA,Kubernetes,Docker,Unix,EJB,Postgress",knowledge of OPF (Open Payment Framework
Senior QA Automation Developer,Mend.io,Testing,1,Senior,24284,26308,"Java,Linux,Windows,API testing,web applications,cloud native,Team player,Proactivity","Selenium,Jenkins,Docker,Github actions,aws,API,CI/CD,GitHub Actions,GitLab CI,OWASP,AWS,Playwright,Degree"
DevOps /Configuration Management Software Engineer,Hitachi Energy,DevOps,0,Mid,9000,14000,"Java,Degree,DevOps,iptables,RHEL,Jenkins,Azure,CI","IaC,Ansible,Linux,Bash,Git,Kubernetes,Bazel,MSBuild"
Platform Engineer,AVENGA,DevOps,0,Mid,28560,33600,"Java,Kafka,Kubernetes,AWS,Terraform,Cloud Native,CI,CD,go",
Intern Quality Assurance Engineer,VML Enterprise Solutions,Testing,0,Trainee,5376,6216,"Java,Quality assurance",
DevSecOps Engineer,Sii Polska,DevOps,1,Mid,24000,30000,"Java,Cloud Security","Kubernetes,linux,Docker,Jenkins"
Non-Functional Testing Engineer,Reply Polska,Testing,1,Senior,23520,33600,"Web services,Network protocols,SSL,TCP,REST API,Scala,Linux,Shell,Windows,Script,Eclipse,Jenkins,CLI,Maven,Vert.x,Kustomize,SFTP,Git,Java","Jenkins pipeline,OpenShift,Oracle,RAC,MONGO,Kafka,JVM,HA"
Software Engineer - Business Systems - Remote,Phorest,Backend,1,Mid,19854,27076,"Java,JVM,REST API,CI/CD,Design Patterns,SQL","Docker,AWS,Big data,Python,Kotlin,Kafka"
"Software Engineer (Java, Big Data Team) - Data&AI",Allegro,Data,0,Senior,18400,25410,"Java,Scala,Kotlin,TDD,CI/CD,Unix,Linux,ML,AI",
Senior DevOps Engineer z Java,Leroy Merlin Polska,DevOps,1,Senior,,,"Java,Spring Boot,Docker Compose,JFrog,Apache Kafka,Kubernetes,Terraform,Helm,GCP,CI,CD,GitHub Actions,PostgreSQL,MySQL,MSSQL,Datadog,Keycloak,SonarQube,Xray,Checkmarx,Next.js","API Gateway,PHP,JavaScript,Vue.js"
DevOps Java Engineer,Motorola Solutions Systems Polska,DevOps,0,Mid,14000,18000,"Java,BS,Degree,Communication skills,REST API,DevOps,Protocols,OSI,SIP,HTTP",
Java DevOps Engineer,Navifleet,DevOps,0,Mid,18000,23000,"Java,Spring,AWS","IoT,Scala,PHP"
"Senior Software Engineer, Relay",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java,web development framework","PHP,Python,public cloud systems,messaging infrastructure,open source project"
Solution Architect (Java),Cloudflight,Architecture,1,Senior,25200,30240,"Domain-driven design,Microservices,Kafka,Java",
Junior Quadient Integrator,Quertum,Fullstack,0,Junior,6000,7000,"XML,Java","JavaScript,Python,Ruby,Quadient"
"Big Data Engineer (Java, GCP)",Avanade Poland,Data,1,Senior,20160,30240,"Java,Google Cloud,Spring Boot,Google cloud platform","SQL,Scrum,Kanban"
"Senior Software Engineer, Content Experiences",Box Inc.,Frontend,0,Senior,30000,35000,"5+ years experience,BS, MS, or PhD,frontend libraries and frameworks","Node.js,Java,public cloud systems"
Fullstack Developer,ITDS,Fullstack,0,Senior,20000,30500,"Degree,Communication skills,Java,C++,Spring Boot,Maven,SQL,React,DropWizard",
Senior Search Engineer,Grid Dynamics,Backend,0,Senior,22000,29000,"Java,Elasticsearch,Solr,Team player,Communication skills,Critical thinking,Problem solving,Proactivity","AWS,Docker,Cassandra"
Mid / Senior Fullstack Developer,Link Group,Fullstack,0,Mid,22680,25200,"Java,Spring Boot,Angular",
Software Development Engineer,Remitly Poland sp. z o.o.,Backend,0,Mid,20000,23000,Java,"PHP,TypeScript,JavaScript,React native,AWS,Kotlin,Golang,Kubernetes"
Junior Developer Backend,Reply Polska,Backend,0,Junior,5000,9000,"Java,Kanban,TDD",
"Senior Software Engineer, Partner Integrations",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java","Java,Node.js,React.js,Kubernetes,PHP"
Fullstack Developer,Raiffeisen Tech,Fullstack,1,Senior,22000,30000,"Java,Angular,JavaScript,GWT,Spring Boot,Hibernate,CSS,HTML,REST,Swagger,SQL,Gradle,Git,Degree,JPA,API,REST API,CI,Communication skills",
Fullstack Developer (Java+Angular),Team Connect Sp. z o.o.,Fullstack,0,Senior,26880,31920,"Java,Angular,Spring Boot,Hibernate,JPA,RabbitMQ,REST API,SOAP,Kafka,JUnit,MongoDB,PostgreSQL,Oracle,TypeScript,CI","OpenShift,Jenkins,Kotlin,Enterprise Architect"
Automotive Backend Developer,Grape Up,Backend,0,Mid,20000,26000,"Java,Kotlin,Microservice architecture,MQTT,MongoDB,Kafka,Security,Communication skills","Rust,Quarkus,GraalVM"
Senior Backend Developer,Kahoot! Poland,Backend,1,Senior,26880,33600,"5+ years experience as a Backend develop,Java,Docker,Kubernetes,Amazon Web Services,Google Cloud Platform",
Junior Fullstack Software Engineer,Beekeeper AG,Fullstack,0,Junior,11300,14250,"Java,JavaScript,TypeScript,Web technologies,Backend,Frontend","Python,Vue.js"
Senior Software Backend Engineer,Box Inc.,Backend,0,Senior,30000,35000,"Java,Object-oriented programming","PHP,Scala,GCP,AWS,Azure"
Intern Software Engineer (Fullstack),VML Enterprise Solutions,Fullstack,0,Trainee,5376,6216,Java,"JavaScript,Cloud,Cloud development"
Software Architect,Motorola Solutions Systems Polska,Backend,0,Expert,23000,26000,"Java,Spring Boot,Analytical skills,Microservices,REST API,Kubernetes,Docker,AWS,Azure,Automated testing","Networking,SIP,RTP,Angular"
Staff Software Backend Engineer,Box Inc.,Backend,0,Senior,37000,44000,"10 years experience,Java,developing APIs","PHP,Scala,GCP,AWS,Azure"
Senior back-end developer (Switch to Go),TechMagic,Backend,1,Senior,,,"Java,Python,Node.js,JavaScript,AD,CAN,Machine learning",NLP
Solution Architect,RemoDevs,Backend,1,Expert,32000,35000,"Java,Microservices,AWS,WooCommerce,Magento,PrestaShop,API,API design,API Security,IAM,JVM,Node.js,TypeScript,React",
"Manager, Software Engineer",Jamf,Fullstack,1,Mid,18000,22000,"Java,Enterprise software,C,Swift,MySQL,Ruby,Python,Eclipse,iOS,Atlassian,Jira,Confluence,Bamboo,Kanban",
Full-Stack Developera,Ness Solution Sp. z o. o.,Fullstack,1,Senior,21840,25200,"Java,React,JavaScript,TypeScript,Oracle,SQL,PL/SQL,Spring,Kafka,Maven,Git,Bitbucket,Docker","AWS,ESB,Liquibase,Jenkins,Elasticsearch,Logstash,MongoDB"
Senior Backend Engineer,Appfire,Backend,1,Senior,18000,25000,"Java,Web technologies,Scala,Node.js,React","OOP,AWS,GCP,Azure,Web applications"
Leader IT,AVENGA,Backend,0,Senior,26880,30240,"Java,Web applications,English,Scrum","Vue.js,SAFe"
Software Development Engineer III (Java + Python),Tesco Technology,Backend,0,Senior,26000,36000,"Java,SQL,Design Patterns,Testing,Spring Boot,Protocols,Jenkins,Docker,Cloud platform,Microsoft Azure,Networking,Python","High availability,Software Development Life Cycle"
Senior Software Engineer,DATEV,Fullstack,0,Senior,17017,30252,"Cloud Native,Spring Boot,JPA,Maven,Angular,REST,JavaScript,TypeScript,PostgreSQL,MongoDB,Jenkins,Git,Java","Tailwind,Kafka,RabbitMQ,Node.js,Cloud Foundry,VMware Tanzu"
SAP Commerce Cloud Developer,VML Enterprise Solutions,Backend,1,Mid,16800,25200,"SAP,Cloud,Java,Data structures,Web technologies,HTML5,CSS,JavaScript,Windows,Linux,Operating system,java 17,Web,Hybris,cloud","Spring,Groovy,Scala,REST,JSON,MongoDB,Apache Kafka,Rabbit MQ,Cassandra"
Case Manager Technical Leader,Inter Cars S.A.,Backend,1,Senior,18500,22000,"IBM,BPMN,Java,Spring,Spring Boot,Maven,Git,Confluence","CAN,SOAP,REST API,ETL,Kafka"
Senior Software Engineer,Appfire,Backend,1,Senior,18300,25100,"Java,MVC,Boot,OOP,Web applications,AWS,GCP","TypeScript,JavaScript"
Software Developer (Java),Cinkciarz.pl Sp. z o.o.,Backend,1,Mid,,,"Java,Spring Boot,Hibernate,Git,REST API,Docker,CI/CD Pipelines","Google Cloud Platform,PHP,Frontend"
Senior Java Engineer,Grid Dynamics,Backend,0,Senior,20000,28000,"Java,Spring,unit/integration testing,Maven,Critical thinking,Communication skills,Team player,Problem solving,VSC (Git/SVN),Spring Boot,Spring Cloud,unit/integration test,Cloud,Hibernate","CI/CD,Apache Nifi,jobDSL,Docker,Jenkins,Datadog"
Programista / Programistka Java,Centralny Ośrodek Informatyki,Backend,1,Mid,13000,16000,"JVM,Java,Kotlin,Spring Boot,ORM,Liquibase,GraphQL,TDD,BDD,Git,Jenkins,Artifactory,Confluence,AD,Gitflow","SSO,Keycloak,CA,OWASP,DevOps,Azure,AWS,GCP"
